source_dataset,dm_threshold,min_pts,rmin_kpc,bins_ok_threshold,ncut_per_bin,n_gal_input,n_binned_rows_total,n_binned_rows_after_ncut,n_gal_bins_ok,n_gal_dm_pts_ok,n_gal_selected_both
dev_clean_3000,5,50,1.5,6,3,3000,31319,29122,2996,2769,2765
dev_clean_3000,10,50,1.5,6,3,3000,31319,29122,2996,2402,2398
dev_clean_3000,15,50,1.5,6,3,3000,31319,29122,2996,1932,1928
dev_clean_3000,20,50,1.5,6,3,3000,31319,29122,2996,1405,1401
dev_clean_3000,5,50,1.5,7,3,3000,31319,29122,2993,2769,2762
dev_clean_3000,10,50,1.5,7,3,3000,31319,29122,2993,2402,2395
dev_clean_3000,15,50,1.5,7,3,3000,31319,29122,2993,1932,1925
dev_clean_3000,20,50,1.5,7,3,3000,31319,29122,2993,1405,1398
dev_clean_3000,5,50,1.5,8,3,3000,31319,29122,2931,2769,2700
dev_clean_3000,10,50,1.5,8,3,3000,31319,29122,2931,2402,2334
dev_clean_3000,15,50,1.5,8,3,3000,31319,29122,2931,1932,1865
dev_clean_3000,20,50,1.5,8,3,3000,31319,29122,2931,1405,1340
dev_clean_3000,5,50,1.5,9,3,3000,31319,29122,2583,2769,2374
dev_clean_3000,10,50,1.5,9,3,3000,31319,29122,2583,2402,2024
dev_clean_3000,15,50,1.5,9,3,3000,31319,29122,2583,1932,1580
dev_clean_3000,20,50,1.5,9,3,3000,31319,29122,2583,1405,1084
dev_clean_3000,5,50,1.5,10,3,3000,31319,29122,1661,2769,1546
dev_clean_3000,10,50,1.5,10,3,3000,31319,29122,1661,2402,1302
dev_clean_3000,15,50,1.5,10,3,3000,31319,29122,1661,1932,983
dev_clean_3000,20,50,1.5,10,3,3000,31319,29122,1661,1405,624
big_base_48133,0,50,1.5,0,0,48133,0,0,48133,48133,48133
