col_1,col_2,col_3,col_4,col_5,col_6
IC3392,12^h28^m43.27^s,14^59^57.48^,1678,68,219
IC3418,12^h29^m43.50^s,11^24^08.00^,38,62,233
NGC4064,12^h04^m11.26^s,18^26^39.12^,1000,70,150
NGC4189,12^h13^m47.47^s,13^25^34.68^,1995,42,70
NGC4192,12^h13^m48.58^s,14^53^57.12^,-118,83,333
NGC4216,12^h15^m54.19^s,13^08^54.96^,30,90,20
NGC4222,12^h16^m22.56^s,13^18^25.20^,225,90,238
NGC4254,12^h18^m49.68^s,14^25^05.52^,2453,39,243
NGC4293,12^h21^m13.47^s,18^23^03.12^,717,67,239
NGC4294,12^h21^m17.81^s,11^30^39.24^,421,74,151
NGC4298,12^h21^m33.12^s,14^36^19.80^,1122,52,132
NGC4299,12^h21^m40.71^s,11^30^06.12^,209,14,128
NGC4302,12^h21^m42.24^s,14^35^57.12^,1111,90,356
NGC4321,12^h22^m54.77^s,15^49^33.24^,1579,32,280
NGC4330,12^h23^m16.95^s,11^22^04.08^,1567,90,238
NGC4351,12^h24^m01.30^s,12^12^15.12^,2388,48,251
NGC4380,12^h25^m22.16^s,10^01^00.12^,935,61,158
NGC4383,12^h25^m25.47^s,16^28^11.64^,1663,56,17
NGC4388,12^h25^m46.61^s,12^39^46.44^,2538,83,271
NGC4394,12^h25^m55.66^s,18^12^52.20^,772,32,312
NGC4396,12^h25^m59.66^s,15^40^10.20^,-115,83,304
NGC4402,12^h26^m07.34^s,13^06^45.00^,190,80,270
NGC4405,12^h26^m07.11^s,16^10^51.60^,1751,46,18
NGC4419,12^h26^m56.35^s,15^02^51.36^,-228,74,131
NGC4424,12^h27^m11.69^s,09^25^14.16^,447,61,274
NGC4450,12^h28^m29.23^s,17^05^04.56^,2048,51,170
NGC4457,12^h28^m59.02^s,03^34^14.16^,738,37,256
NGC4501,12^h31^m59.33^s,14^25^10.92^,2120,65,320
NGC4522,12^h33^m39.72^s,09^10^26.76^,2332,82,35
NGC4532,12^h34^m19.35^s,06^28^05.52^,2154,64,159
NGC4533,12^h34^m22.03^s,02^19^33.24^,1753,80,342
NGC4535,12^h34^m20.26^s,08^11^53.52^,1973,48,12
NGC4536,12^h34^m27.12^s,02^11^16.08^,1894,74,118
NGC4548,12^h35^m26.64^s,14^29^43.80^,498,37,318
NGC4561,12^h36^m08.14^s,19^19^21.72^,1441,28,60
NGC4567,12^h36^m33.07^s,11^15^29.16^,2213,49,251
NGC4568,12^h36^m34.34^s,11^14^21.84^,2260,70,211
NGC4569,12^h36^m50.12^s,13^09^55.08^,-220,69,203
NGC4579,12^h37^m43.44^s,11^49^05.52^,1627,40,273
NGC4580,12^h37^m48.38^s,05^22^06.24^,1227,46,337
NGC4606,12^h40^m57.62^s,11^54^43.56^,1653,69,38
NGC4607,12^h41^m12.39^s,11^53^09.60^,2284,90,2
NGC4651,12^h43^m42.72^s,16^23^37.68^,788,53,75
NGC4654,12^h43^m56.76^s,13^07^32.52^,1035,61,300
NGC4689,12^h47^m45.68^s,13^45^42.12^,1522,38,341
NGC4694,12^h48^m15.08^s,10^59^00.60^,1211,62,323
NGC4698,12^h48^m22.99^s,08^29^15.00^,1032,66,347
NGC4713,12^h49^m57.65^s,05^18^39.60^,631,45,89
NGC4772,12^h53^m29.12^s,02^10^06.24^,1042,60,325
NGC4808,12^h55^m48.94^s,04^18^15.12^,738,72,127
VCC1581,12^h34^m45.05^s,06^18^03.24^,2141,43,329
