recno	Name	sma	ell	muFUV	e_muFUV	cumuFUV	e_cumuFUV	muNUV	e_muNUV	cumuNUV	e_cumuNUV	FN	e_FN	sma36	mu36corr	tmagcorr	e_mu36corr	e_tmagcorr	asmag36
1	"ESO013-016"	6	0.333	22.847	0.072	18.147	0.097	22.851	0.043	18.005	0.054	-0.005	0.084	8	21.019	15.957	0.005	0.004	13.132
2	"ESO013-016"	12	0.333	23.764	0.109	16.856	0.054	23.37	0.054	16.662	0.029	0.394	0.122	16	21.606	14.891	0.008	0.005	13.132
3	"ESO013-016"	18	0.333	24.074	0.09	16.431	0.045	23.786	0.047	16.146	0.023	0.288	0.102	24	21.958	14.399	0.011	0.006	13.132
4	"ESO013-016"	24	0.333	24.049	0.067	15.965	0.036	23.777	0.035	15.712	0.019	0.272	0.076	32	22.177	14.006	0.013	0.008	13.132
5	"ESO013-016"	30	0.333	24.338	0.066	15.589	0.031	24.038	0.035	15.329	0.016	0.3	0.075	40	22.552	13.721	0.018	0.009	13.132
6	"ESO013-016"	36	0.333	24.613	0.07	15.372	0.028	24.292	0.036	15.113	0.015	0.322	0.078	48	22.896	13.562	0.025	0.011	13.132
7	"ESO013-016"	42	0.333	24.734	0.07	15.189	0.026	24.59	0.04	14.934	0.014	0.144	0.08	56	23.14	13.436	0.031	0.013	13.132
8	"ESO013-016"	48	0.333	25.146	0.082	15.046	0.025	24.887	0.044	14.783	0.013	0.259	0.093	64	23.504	13.335	0.043	0.015	13.132
9	"ESO013-016"	54	0.333	25.65	0.103	14.944	0.024	25.573	0.064	14.694	0.013	0.077	0.122	72	23.916	13.262	0.062	0.017	13.132
10	"ESO013-016"	60	0.333	26.543	0.177	14.892	0.023	26.215	0.096	14.646	0.013	0.328	0.201	80	24.344	13.213	0.092	0.02	13.132
