recno	Name	Arad	Lrad	I3_6	e_I3_6	I4_5	e_I4_5	I5_8	e_I5_8	I8_0	e_I8_0	I24	e_I24	I70	e_I70	I160	e_I160
1006	"DDO 053"	6	0.1	-5.82	0.01	-5.75	0.01	-5.54	0.06	-5.27	0.03	-4.36	0.01				
1007	"DDO 053"	12	0.2	-6.17	0.03	-6.35	0.04			-6.28	0.28	-4.93	0.01	-3.96	0.04	-4.29	0.12
1008	"DDO 053"	18	0.3	-6.17	0.03	-6.19	0.02			-6.29	0.29	-5.56	0.01				
1009	"DDO 053"	24	0.4	-6.37	0.04	-6.49	0.05					-5.87	0.02	-4.37	0.1	-4.4	0.14
1010	"DDO 053"	30	0.5	-6.43	0.05	-6.58	0.06					-5.9	0.03				
1011	"DDO 053"	36	0.6	-6.52	0.06	-6.67	0.07					-6.0	0.03	-4.53	0.14	-4.51	0.17
1012	"DDO 053"	42	0.7	-6.52	0.06	-6.63	0.07					-6.08	0.04				
1013	"DDO 053"	48	0.8	-6.67	0.09	-6.77	0.09					-5.97	0.03	-4.72	0.2	-4.61	0.21
1014	"DDO 053"	54	0.9	-6.62	0.08	-6.7	0.08					-6.17	0.05				
1015	"DDO 053"	60	1.0	-6.76	0.11	-6.88	0.12					-6.42	0.08	-4.99	0.28	-4.72	0.26
1016	"DDO 053"	66	1.1	-6.87	0.14	-6.91	0.13					-6.71	0.16				
1017	"DDO 053"	72	1.2	-7.0	0.19	-7.02	0.16					-6.48	0.09			-4.87	0.36
1018	"DDO 053"	78	1.3	-6.94	0.16	-6.98	0.15					-6.82	0.2				
1019	"DDO 053"	84	1.4	-6.92	0.16	-6.96	0.15					-6.99	0.3				
1020	"DDO 053"	90	1.6	-7.1	0.24	-7.16	0.23					-6.88	0.23				
